蜜罐代理-89,CentOS 7 (64-bit),
堡垒机,CentOS 7 (64-bit),
ops,CentOS 7 (64-bit),192.168.110.238
悬镜安全BAS,CentOS 7 (64-bit),
hz-entry,CentOS 7 (64-bit),
gitlab-runner2,CentOS 7 (64-bit),192.168.110.169
es2-126,CentOS 7 (64-bit),
agent升级测试-104网段,CentOS 7 (64-bit),192.168.104.44
openvpn,CentOS 7 (64-bit),192.168.110.95
爱块,Ubuntu Linux (64-bit),
蜜罐代理-88,CentOS 7 (64-bit),
gitlab-runner1,CentOS 7 (64-bit),192.168.110.217
es,CentOS 7 (64-bit),
redis-cluster03-83,CentOS 7 (64-bit),192.168.110.83
ansible,CentOS 7 (64-bit),192.168.110.121
hz-server,Oracle Linux 7 (64-bit),
hz-client,CentOS 7 (64-bit),
jira,CentOS 7 (64-bit),
vm-jumpserver,Ubuntu Linux (64-bit),192.168.100.221
win-2016-105,Microsoft Windows Server 2016 (64-bit),
redis-cluster02-82,CentOS 7 (64-bit),192.168.110.82
多网段堡垒机,Ubuntu Linux (64-bit),192.168.110.209
redis-cluster01-81,CentOS 7 (64-bit),192.168.110.81
生产k8s远程机器,CentOS 7 (64-bit),
智安竞品,Ubuntu Linux (64-bit),
二期-win10-03,Microsoft Windows 10 (64-bit),
2.2-测试,CentOS 7 (64-bit),192.168.110.181
二期-ubuntu03,Ubuntu Linux (64-bit),192.168.106.19
zhoulei,CentOS 7 (64-bit),
二期-ubuntu04,Ubuntu Linux (64-bit),192.168.106.20
v2.2-win2016,Microsoft Windows Server 2016 (64-bit),
二期-debian9,Debian GNU/Linux 9 (64-bit),
漏洞复测-ubuntu16-02,Ubuntu Linux (64-bit),192.168.106.32
二期-ubuntu01,Ubuntu Linux (64-bit),172.25.0.1
安全堡垒机01,Ubuntu Linux (64-bit),192.168.106.35
二期-ubuntu05,Ubuntu Linux (64-bit),192.168.106.21
ubuntu20-沙箱,Ubuntu Linux (64-bit),192.168.110.109
漏洞复测-ubuntu16-01,Ubuntu Linux (64-bit),192.168.106.31
测试106段机器,Microsoft Windows Server 2016 (64-bit),
安全研究入侵检测-136,Ubuntu Linux (64-bit),192.168.110.136
二期-suse12,SUSE Linux Enterprise 12 (64-bit),192.168.106.13
jenkins-agent,CentOS 7 (64-bit),192.168.110.132
二期-suse15-leap,SUSE Linux Enterprise 15 (64-bit),fe80::250:56ff:fe88:e13f
弱口令漏洞环境-windows,Microsoft Windows Server 2016 (64-bit),
二期-win10-04,Microsoft Windows 10 (64-bit),
二期-ubuntu-15,Ubuntu Linux (64-bit),192.168.106.15
二期-win2012,Microsoft Windows Server 2012 (64-bit),
